access_id,object_id,techno_complex,site_name,location,country,longitude,latitude,layer,dating_method,date_bp_max_min,excavation_year,material,object_type,length_mm,width_mm,depth_mm,preservation,short_description,references,line,obline,radline,dashline,circumline,notch,obnotch,radnotch,circumnotch,dot,cupule,cross,rhombus,grid,hatching,zigzag,zigzagrow,rectangle,hashtag,maccaroni,v,circumspiral,vulva,anthropomorph,zoomorph,paw,concenline,pinleft,pinright,star,other,sign_coding
742,laf0025,Aurignacien,La Ferrassie,Savignac-de-Miremont,France,0.928000,44.952000,H''?,OSL,37200±1900,,bone,tube,,,,fragmented,decorated bone fragment,Guerin G. et al. 2015; Peyrony D. 1934: p.72 fig. 74.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
456,hfc0035,Aurignacien,Hohle Fels,Schelklingen,Germany,9.754103,48.379117,IV,AMS,33090+260/-250 - 28750±750,2001/2002,ivory,figurine zoomorph,48.0,13.0,9.0,almost complete,,Dutkiewicz E. 2019: Taf. 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
424,hfc0003,Aurignacien,Hohle Fels,Schelklingen,Germany,9.754103,48.379117,Va,AMS,34570±260 - 31750±260,2014,ivory,possible figurine,9.0,6.0,3.0,fragmented,,Dutkiewicz E. 2019: Taf. 28.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
425,hfc0004,Aurignacien,Hohle Fels,Schelklingen,Germany,9.754103,48.379117,Va,AMS,34570±260 - 31750±260,2007,ivory,rod/bâton,89.0,15.0,7.0,fragmented,,Dutkiewicz E. 2019: Taf. 51.1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
471,hfc0050,Aurignacien,Hohle Fels,Schelklingen,Germany,9.754103,48.379117,IV,AMS,33090+260/-250 - 28750±750,2006,ivory,undetermined,17.0,11.0,3.0,fragmented,,Dutkiewicz E. 2019: Taf. 52.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
454,hfc0033,Aurignacien,Hohle Fels,Schelklingen,Germany,9.754103,48.379117,Vb,AMS,40000±500 - 31290±180,2005,ivory,undetermined,18.0,6.0,3.0,fragmented,,Dutkiewicz E. 2019: Taf. 52.1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,laf0007,Aurignacien,La Ferrassie,Savignac-de-Miremont,France,0.928000,44.952000,,OSL,37200±1900,1902,antler,spatula/lissoir,107.0,12.0,,complete,Fragment de sagaie (?) en bois de renne,Guerin G. et al. 2015; Chollot-Varagnac M. 1980: p. 48-49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
228,hdp0001,Aurignacien,Hornos de la Pena,San Felices de Buelna,Spain,-4.030000,43.261000,,C14,34000 - 30000,,bone,plaquette,90.0,75.0,7.0,fragmented,hueso frontal de équido con la representación grabada del cuarto trasero y cola del mismo animal.,Tejero J. M. et al. 2008: p. 119 fig. 1; Garate D. et al. 2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
473,hss0002,Aurignacien,Hohlenstein-Stadel,Asselfingen,Germany,10.184000,48.550000,Au,AMS,35185±270,2011,animal tooth,personal ornament,29.0,16.0,12.0,complete,,Kind C.-J. et al. 2014; Dutkiewicz E. 2019: Taf. 37.11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
472,hss0001,Aurignacien,Hohlenstein-Stadel,Asselfingen,Germany,10.184000,48.550000,Au,AMS,35185±270,1939/1969,ivory,figurine anthropomorph,311.0,,,almost complete,,Kind C.-J. et al. 2014; Dutkiewicz E. 2019: Taf. 11a-11b,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
451,hfc0030,Aurignacien,Hohle Fels,Schelklingen,Germany,9.754103,48.379117,Iie,AMS,30640±190,2003,ivory,point,13.0,3.0,3.0,fragmented,,Dutkiewicz E. 2019: Taf. 46.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
460,hfc0039,Aurignacien,Hohle Fels,Schelklingen,Germany,9.754103,48.379117,IIIb,AMS,29990+340/-330 - 29780+330/-310,2004,ivory,undetermined,28.0,5.0,2.0,fragmented,,Dutkiewicz E. 2019: Taf. 53.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
423,hfc0002,Aurignacien,Hohle Fels,Schelklingen,Germany,9.754103,48.379117,IV,AMS,33090+260/-250 - 28750±750,2007,ivory,undetermined,30.0,6.0,4.0,fragmented,,Dutkiewicz E. 2019: Taf. 52.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
467,hfc0046,Aurignacien,Hohle Fels,Schelklingen,Germany,9.754103,48.379117,Va,AMS,34570±260 - 31750±260,2008,ivory,personal ornament,61.0,5.0,3.0,fragmented,,Dutkiewicz E. 2019: Taf. 38.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
